,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category
2104,Intel Xeon X3320 @ 2.50GHz,18360.0,1986,8.65,1097,4.78,95.0,4,LGA 775,Server
2107,Intel Xeon X5355 @ 2.66GHz,23996.0,1979,6.6,1060,3.53,120.0,4,LGA 771,Server
2110,Intel Core i5-3317U @ 1.70GHz,18000.0,1972,8.77,1235,5.49,17.0,2,BGA 1023,Laptop
2111,AMD Athlon II X4 615e,4720.0,1967,33.34,1037,17.58,45.0,4,AM3,Desktop
2113,Intel Core2 Quad Q9300 @ 2.50GHz,5441.6,1962,28.84,1087,15.99,95.0,4,LGA 775,Desktop
2116,AMD Athlon II X4 605e,1597.6,1957,98.01,1005,50.34,45.0,4,AM3,Desktop
2117,Intel Core i5-2410M @ 2.30GHz,3369.6,1954,46.38,1224,29.06,35.0,2,"BGA 1023, PPG",Laptop
2119,Intel Core i3-3220T @ 2.80GHz,3199.2,1949,48.75,1506,37.66,35.0,2,LGA 1155,Desktop
2122,Intel Xeon E5506 @ 2.13GHz,7200.0,1946,21.62,941,10.46,80.0,4,LGA 1366,Server
2126,AMD A8-3800 APU,8796.0,1939,17.64,1064,9.67,65.0,4,FM1,Desktop
2127,Intel Celeron N3450 @ 1.10GHz,14806.4,1938,10.47,763,4.12,6.0,4,BGA 1296,Laptop
2129,Intel Xeon X6550 @ 2.00GHz,6320.0,1936,24.5,390,4.94,130.0,4,LGA 1567,Server
2130,Intel Xeon E5603 @ 1.60GHz,7615.2,1935,20.32,712,7.48,80.0,4,LGA 1366,Server
2131,AMD Athlon II X4 620,4396.0,1934,35.19,1054,19.18,95.0,4,AM3,Desktop
2132,AMD A6-7480,2993.6,1931,51.61,1638,43.77,65.0,2,FM2+,Desktop
2133,Intel Xeon E5420 @ 2.50GHz,19996.0,1931,7.73,1048,4.19,80.0,4,LGA 771,Server
2134,Intel Pentium G3250 @ 3.20GHz,6000.0,1928,25.7,1811,24.15,53.0,2,LGA 1150,Desktop
2135,Intel Xeon E5507 @ 2.27GHz,8000.0,1928,19.28,997,9.97,80.0,4,LGA 1366,Server
2136,Intel Xeon X3330 @ 2.66GHz,16800.0,1928,9.18,1160,5.52,95.0,4,LGA 775,Server
2137,Intel Core i7-840QM @ 1.87GHz,27112.0,1928,5.69,1114,3.29,45.0,4,PGA988A,Laptop
2138,Intel Celeron G1850 @ 2.90GHz,3199.2,1926,48.17,1695,42.4,54.0,2,LGA 1150,Desktop
2139,Intel Core i3-2120 @ 3.30GHz,2195.2,1926,70.17,1517,55.3,65.0,2,LGA 1155,Desktop
2140,AMD Athlon II X3 460,1342.4,1924,114.68,1390,82.86,95.0,3,AM3,Desktop
2141,AMD Athlon 5370 APU,47894.4,1923,3.21,755,1.26,25.0,4,"AM1,FS1B",Desktop
2142,Intel Xeon E5410 @ 2.33GHz,855.2,1923,179.92,1024,95.78,80.0,4,LGA 771,Server
2143,Intel Xeon L5410 @ 2.33GHz,8006.4,1921,19.19,1029,10.28,50.0,4,LGA 771,Server
2145,Intel Pentium G3240 @ 3.10GHz,9359.2,1919,16.4,1749,14.95,53.0,2,LGA 1150,Desktop
2146,AMD Opteron 3320 EE,43840.0,1918,3.5,838,1.53,25.0,2,AM3+,Server
2147,Intel Core i5-580M @ 2.67GHz,7996.0,1914,19.14,1266,12.66,35.0,2,BGA 1288,Laptop
2148,Intel Pentium G3420T @ 2.70GHz,12799.2,1912,11.95,1570,9.81,35.0,2,LGA 1150,Desktop
2152,AMD A10-4600M APU,7919.2,1908,19.28,1063,10.74,35.0,2,FS1r2,Laptop
2155,Intel Core i5-4422E @ 1.80GHz,21280.0,1907,7.17,1048,3.94,25.0,2,BGA 1364,Laptop
2160,AMD A10-5750M APU,7843.2,1902,19.4,1097,11.18,35.0,4,FS1r2,Laptop
2161,AMD Phenom II X4 920,2231.2,1899,68.1,1068,38.31,125.0,4,AM2+,Desktop
2162,AMD Opteron 1385,3600.0,1898,42.19,1035,22.99,115.0,4,"AM2+,AM3",Server
2163,AMD Phenom II X4 905e,4319.2,1895,35.11,1029,19.06,65.0,4,AM3,Desktop
2164,Intel Pentium G2130 @ 3.20GHz,3491.2,1895,43.42,1745,39.99,55.0,2,LGA 1155,Desktop
2165,AMD Phenom 9950 Quad-Core,7763.2,1892,19.49,1041,10.73,125.0,4,AM2+,Desktop
2173,AMD PRO A6-9500,5920.0,1875,25.34,1618,21.87,65.0,2,AM4,Desktop
2175,AMD Athlon II X4 610e,1432.0,1871,104.55,999,55.81,45.0,4,AM3,Desktop
2176,Intel Core i3-2105 @ 3.10GHz,9040.0,1871,16.55,1387,12.27,65.0,2,LGA 1155,Desktop
2177,Intel Pentium G2120 @ 3.10GHz,5999.2,1870,24.94,1708,22.77,55.0,2,LGA 1155,Desktop
2178,AMD A6-9500,6033.6,1864,24.72,1618,21.45,65.0,2,AM4,Desktop
2179,AMD Opteron 2378,1159.2,1864,128.65,936,64.62,75.0,4,F (1207),Server
2185,Intel Celeron G3900TE @ 2.30GHz,5412.8,1850,27.35,1402,20.72,35.0,2,LGA 1151,Laptop
2186,AMD Phenom II X4 810,17040.0,1849,8.68,1018,4.78,95.0,4,AM3,Desktop
2187,Intel Pentium G3220 @ 3.00GHz,5184.0,1849,28.53,1695,26.16,54.0,2,LGA 1150,Desktop
2188,Intel Core i3-4100E @ 2.40GHz,18000.0,1848,8.22,1390,6.18,37.0,2,BGA 1364,Mobile/Embedded
2190,Intel Core i3-2310E @ 2.10GHz,18000.0,1845,8.2,733,3.26,35.0,2,BGA 1023,Laptop
2192,AMD Phenom II X3 B77,1783.2,1844,82.71,1310,58.76,95.0,3,AM2+/AM3,Unknown
2193,AMD Phenom II X4 805,13919.2,1844,10.6,999,5.74,95.0,4,AM3,Desktop
2195,AMD A6-9500E,5956.0,1841,24.72,1478,19.85,35.0,2,AM4,Desktop
2197,Intel Xeon X3323 @ 2.50GHz,1548.8,1837,94.86,1059,54.69,80.0,4,LGA 775,Server
2199,AMD Athlon II X3 455,3199.2,1832,45.82,1343,33.59,95.0,3,AM3,Desktop
2200,Intel Core i5-560M @ 2.67GHz,7113.6,1832,20.6,1238,13.92,35.0,2,BGA 1288,Laptop
2201,AMD A6-3620 APU,1799.2,1830,81.38,987,43.89,65.0,4,FM1,Desktop
2206,Intel Core M-5Y10c @ 0.80GHz,22480.0,1822,6.49,1080,3.84,4.5,2,BGA 1234,Laptop
