,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,testDate,category
1121,GeForce GT 555M,688,124,177.2,3.88,30.0,2011,Mobile
1125,GeForce GT 630,683,208,147.01,4.65,50.0,2012,Desktop
1131,GeForce GT 530,676,227,49.0,13.79,50.0,2011,Desktop
1136,GeForce GT 640M LE,673,166,849.99,0.79,32.0,2012,Mobile
1141,Quadro 500M,664,588,275.14,2.41,35.0,2013,Workstation
1143,FirePro V3900,662,242,238.44,2.78,50.0,2012,Workstation
1145,FireGL V7700,660,422,69.99,9.43,,2011,Workstation
1168,GeForce GT 710,637,214,102.99,6.18,25.0,2014,Desktop
1178,GeForce 9800 GTX/9800 GTX+,632,128,89.99,7.02,,2009,Unknown
1197,GeForce GTS 240,622,212,64.99,9.57,120.0,2009,Desktop
1204,GeForce GTS 250,618,91,69.99,8.84,150.0,2012,Desktop
1209,Radeon HD 7570,613,265,102.49,5.99,44.0,2012,Desktop
1216,GeForce GT 720,606,196,99.99,6.06,19.0,2014,Desktop
1220,GeForce GT 430,603,191,139.99,4.31,49.0,2012,Desktop
1224,Quadro 1000M,599,201,54.5,10.99,45.0,2012,Workstation
1226,GeForce 8800 GTX,597,105,119.99,4.98,155.0,2012,Desktop
1252,Radeon HD 3870,576,82,69.99,8.22,106.0,2012,Desktop
1258,Radeon R5 420,575,230,39.95,14.39,,2017,Unknown
1267,Radeon HD 7650A,564,311,262.0,2.15,,2012,Unknown
1269,Intel HD 5000,563,231,625.0,0.9,,2013,Unknown
1271,Quadro FX 5600,562,168,295.0,1.9,,2009,Unknown
1282,FireGL V8650,550,637,298.99,1.84,,2010,Workstation
1287,FirePro 3D V5700,547,517,319.99,1.71,58.0,2009,Workstation
1288,Quadro 600,546,225,76.0,7.18,40.0,2012,Workstation
1290,FirePro 3D V7750,545,468,350.0,1.56,76.0,2009,Workstation
1295,GeForce GT 240,543,78,160.97,3.37,69.0,2012,Desktop
1319,Radeon R5 240,520,191,85.0,6.11,50.0,2014,Desktop
1320,GeForce 8800 GT,519,85,69.99,7.42,125.0,2009,Desktop
1327,Radeon R5 330,513,200,339.99,1.51,30.0,2017,Desktop
1335,GeForce 9600 GT,505,60,64.99,7.77,95.0,2011,Desktop
1344,Radeon HD 6570,496,193,63.81,7.78,44.0,2012,Desktop
1347,GeForce GT 540M,493,86,87.95,5.61,32.0,2012,Mobile
1356,Radeon HD 7670M,485,123,629.99,0.77,20.0,2012,Mobile
1357,GeForce 9800 GT,481,94,74.99,6.41,125.0,2012,Desktop
1368,Radeon HD 5570,473,177,163.99,2.89,39.0,2012,Desktop
1370,FirePro 3D V3800,472,507,149.99,3.15,43.0,2010,Workstation
1379,Quadro FX 3700M,467,117,925.0,0.5,75.0,2009,Workstation
1383,FirePro V5700,465,469,188.06,2.47,,2015,Unknown
1387,GeForce 9800M GTX,462,117,328.5,1.41,75.0,2009,Mobile
1396,Radeon R7 M260,452,117,799.0,0.57,,2014,Mobile
1408,GeForce GT 320,444,92,32.69,13.59,43.0,2010,Desktop
1412,GeForce 8800 GTS,440,56,79.99,5.5,146.0,2012,Desktop
1413,Quadro FX 4600,437,202,333.25,1.31,134.0,2009,Workstation
1414,Quadro 410,436,218,129.0,3.38,38.0,2012,Workstation
1419,Quadro FX 2800M,433,80,190.0,2.28,75.0,2010,Workstation
1429,GeForce GT 330,422,119,39.99,10.55,,2010,Unknown
1437,GeForce GT 420,411,187,155.0,2.65,50.0,2010,Desktop
1444,Quadro FX 1800,405,90,135.0,3.0,59.0,2009,Workstation
1457,Quadro FX 3700,384,158,213.27,1.8,78.0,2010,Workstation
1458,Radeon HD 4670,384,50,142.96,2.69,59.0,2012,Desktop
1459,Radeon HD 5550,383,187,54.99,6.97,39.0,2010,Desktop
1462,Radeon HD 6490M,378,514,1193.03,0.32,,2011,Mobile
1473,GeForce GT 620,365,162,154.0,2.37,30.0,2012,Desktop
