,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
730,Intel Core i3-10100 @ 3.60GHz,9039.2,8800,77.88,2637,23.34,65.0,4,LGA 1200,Desktop,Intel
735,AMD Ryzen 5 2400G,17120.0,8729,40.79,2158,10.09,65.0,4,AM4,Desktop,AMD
737,Intel Xeon W-2223 @ 3.60GHz,23199.2,8686,29.95,2255,7.78,120.0,4,LGA 2066,Server,Intel
747,Intel Xeon W-2123 @ 3.60GHz,34168.8,8489,19.87,2229,5.22,120.0,4,LGA 2066,Server,Intel
751,Intel Xeon E-2314 @ 2.80GHz,15600.0,8422,43.19,3089,15.84,65.0,4,LGA 1200,Server,Intel
775,Intel Core i3-10100E @ 3.20GHz,10000.0,8229,65.83,2297,18.38,65.0,4,LGA 1200,"Desktop, Mobile/Embedded",Intel
781,Intel Core i3-10305T @ 3.00GHz,11440.0,8136,56.9,2456,17.18,35.0,4,LGA 1200,Desktop,Intel
795,Intel Core i3-10300T @ 3.00GHz,13942.4,7997,45.89,2350,13.49,35.0,4,LGA 1200,Desktop,Intel
804,Intel Core i3-10105T @ 3.00GHz,9760.0,7850,64.34,2350,19.26,35.0,4,LGA 1200,Desktop,Intel
810,AMD Ryzen 5 1400,8772.0,7783,70.98,1904,17.36,65.0,4,AM4,Desktop,AMD
833,AMD Ryzen 3 2300X,14247.2,7566,42.48,2364,13.28,65.0,4,AM4,Desktop,AMD
854,Intel Core i3-10100T @ 3.00GHz,9760.0,7405,60.7,2319,19.01,35.0,4,LGA 1200,Laptop,Intel
877,AMD Ryzen 3 3200G,11599.2,7188,49.57,2218,15.3,65.0,4,AM4,Desktop,AMD
919,AMD Ryzen 3 1300X,9200.0,6925,60.22,2096,18.23,65.0,4,AM4,Desktop,AMD
942,AMD Ryzen 3 2200G,9920.0,6781,54.69,2060,16.61,65.0,4,AM4,Desktop,AMD
953,Intel Core i5-7640X @ 4.00GHz,5200.0,6675,102.69,2511,38.63,112.0,4,LGA 2066,Desktop,Intel
1000,AMD Ryzen 3 1200,8284.0,6304,60.88,1927,18.61,65.0,4,AM4,Desktop,AMD
1014,Intel Xeon W-2104 @ 3.20GHz,20400.0,6202,24.32,1836,7.2,120.0,4,LGA 2066,Server,Intel
1199,Intel Xeon W-2102 @ 2.90GHz,22959.2,5077,17.69,1753,6.11,120.0,4,LGA 2066,Server,Intel
1276,AMD Athlon 240GE,11040.0,4551,32.98,1986,14.39,35.0,2,AM4,Desktop,AMD
1289,Intel Pentium Gold G6605 @ 4.30GHz,9940.0,4493,36.16,2658,21.39,58.0,2,LGA 1200,Desktop,Intel
1290,AMD Athlon 3000G,4399.2,4480,81.47,1999,36.36,35.0,2,AM4,Desktop,AMD
1295,AMD Athlon 220GE,10320.0,4450,34.5,1984,15.38,35.0,2,AM4,Laptop,AMD
1303,Intel Pentium Gold G6600 @ 4.20GHz,8588.0,4396,40.95,2577,24.0,58.0,2,LGA 1200,Desktop,Intel
1307,Intel Pentium Gold G6505 @ 4.20GHz,6000.0,4378,58.37,2652,35.35,58.0,2,LGA 1200,Desktop,Intel
1321,Intel Pentium Gold G6405 @ 4.10GHz,4808.0,4285,71.29,2534,42.16,58.0,2,LGA 1200,Desktop,Intel
1354,Intel Pentium Gold G6500 @ 4.10GHz,7759.2,4147,42.76,2491,25.69,58.0,2,LGA 1200,Desktop,Intel
1356,AMD Athlon 200GE,9911.2,4135,33.38,1817,14.67,35.0,2,AM4,Desktop,AMD
1359,Intel Pentium Gold G6400 @ 4.00GHz,5970.4,4130,55.34,2484,33.29,58.0,2,LGA 1200,Desktop,Intel
1381,Intel Pentium Gold G6500T @ 3.50GHz,6000.0,4005,53.4,2277,30.36,35.0,2,LGA 1200,Desktop,Intel
1400,AMD PRO A12-9800,13520.0,3878,22.95,1775,10.5,65.0,4,AM4,Desktop,AMD
1433,Intel Pentium Gold G6405T @ 3.50GHz,5120.0,3746,58.54,2206,34.47,35.0,2,LGA 1200,Desktop,Intel
1452,AMD PRO A10-9700,13520.0,3644,21.56,1655,9.8,65.0,2,AM4,Desktop,AMD
1458,AMD Athlon X4 950,2879.2,3611,100.32,1663,46.2,65.0,4,AM4,Desktop,AMD
1459,Intel Pentium Gold G6400T @ 3.40GHz,5120.0,3610,56.4,2140,33.44,35.0,2,LGA 1200,Desktop,Intel
1471,AMD A10-9700,7340.0,3546,38.64,1616,17.61,65.0,4,AM4,Desktop,AMD
1498,AMD A12-9800E,29684.0,3447,9.29,1604,4.32,35.0,4,AM4,Desktop,AMD
1499,AMD A12-9800,9988.0,3447,27.61,1607,12.87,65.0,2,AM4,Desktop,AMD
1529,AMD PRO A8-9600,9520.0,3347,28.13,1468,12.34,65.0,2,AM4,Desktop,AMD
1542,AMD A8-9600,7919.2,3291,33.24,1486,15.02,65.0,4,AM4,Desktop,AMD
1586,AMD PRO A12-9800E,13520.0,3182,18.83,1551,9.18,35.0,4,AM4,Desktop,AMD
1671,AMD A10-9700E,7439.2,2947,31.7,1413,15.2,35.0,4,AM4,Desktop,AMD
1675,Intel Celeron G5925 @ 3.60GHz,4314.4,2939,54.49,2282,42.32,58.0,2,LGA 1200,Desktop,Intel
1699,AMD PRO A10-9700E,11120.0,2896,20.83,1333,9.59,35.0,2,AM4,Desktop,AMD
1719,Intel Celeron G5905 @ 3.50GHz,3775.2,2815,59.64,2189,46.39,58.0,2,LGA 1200,Desktop,Intel
1729,Intel Celeron G5900 @ 3.40GHz,4319.2,2790,51.68,2150,39.82,58.0,2,LGA 1200,Desktop,Intel
1773,Intel Celeron G5900T @ 3.20GHz,3360.0,2648,63.04,2041,48.6,35.0,2,LGA 1200,Desktop,Intel
1838,Intel Celeron G5920 @ 3.50GHz,4959.2,2482,40.04,2151,34.7,58.0,2,LGA 1200,Desktop,Intel
1923,Intel Celeron G5905T @ 3.30GHz,3360.0,2310,55.01,1996,47.52,35.0,2,LGA 1200,Desktop,Intel
2173,AMD PRO A6-9500,5920.0,1875,25.34,1618,21.87,65.0,2,AM4,Desktop,AMD
2178,AMD A6-9500,6033.6,1864,24.72,1618,21.45,65.0,2,AM4,Desktop,AMD
2195,AMD A6-9500E,5956.0,1841,24.72,1478,19.85,35.0,2,AM4,Desktop,AMD
2307,AMD PRO A6-9500E,5920.0,1662,22.46,1493,20.18,35.0,2,AM4,Desktop,AMD
